elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,adaptive,uniform,coord,0,13.5,96.49,21.959,0.0,0.1751,1777539861.5264146
6.01,adaptive,uniform,nlp,1,14.4,204.94,23.124,0.5324,0.1783,1777539861.526434
6.01,adaptive,uniform,vision,20,14.0,522.16,19.298,0.8707,0.1783,1777539861.5264468
6.01,adaptive,uniform,reasoning,44,14.1,982.62,15.471,0.9785,0.4682,1777539861.5264566
11.02,adaptive,uniform,coord,3,29.7,134.32,26.306,0.1379,0.1751,1777539866.5401225
11.02,adaptive,uniform,nlp,39,30.0,419.02,23.403,0.7287,0.1783,1777539866.5401356
11.02,adaptive,uniform,vision,83,29.5,1094.66,18.868,0.9279,0.1783,1777539866.5401452
11.02,adaptive,uniform,reasoning,18,29.1,1097.91,24.401,0.9926,0.4682,1777539866.5401542
16.03,adaptive,uniform,coord,0,32.6,128.15,28.688,0.1109,0.235,1777539871.550852
16.03,adaptive,uniform,nlp,58,29.9,793.29,23.823,0.8168,0.1975,1777539871.550864
16.03,adaptive,uniform,vision,73,27.7,1881.36,21.204,0.9559,0.2713,1777539871.550873
16.03,adaptive,uniform,reasoning,59,30.1,1150.14,23.699,0.9947,0.2962,1777539871.5508816
21.04,adaptive,uniform,coord,0,30.4,125.53,28.375,0.0871,0.1723,1777539876.5552788
21.04,adaptive,uniform,nlp,74,28.4,1187.48,24.145,0.8622,0.1976,1777539876.5552905
21.04,adaptive,uniform,vision,128,28.6,2255.76,21.388,0.9667,0.2628,1777539876.5553029
21.04,adaptive,uniform,reasoning,68,30.8,1427.14,25.048,0.9962,0.3673,1777539876.5553114
26.04,adaptive,uniform,coord,1,28.7,144.24,28.647,0.1528,0.1723,1777539881.5567904
26.04,adaptive,uniform,nlp,95,29.0,1550.16,24.384,0.8898,0.1976,1777539881.5567937
26.04,adaptive,uniform,vision,143,31.3,2775.04,22.388,0.9743,0.2628,1777539881.5567958
26.04,adaptive,uniform,reasoning,78,30.6,1645.9,25.613,0.997,0.3673,1777539881.556798
31.05,adaptive,uniform,coord,1,28.7,161.98,28.437,0.2401,0.1543,1777539886.5693321
31.05,adaptive,uniform,nlp,90,27.6,1885.56,24.733,0.9089,0.1987,1777539886.569344
31.05,adaptive,uniform,vision,169,31.1,3186.23,23.187,0.9792,0.3065,1777539886.569354
31.05,adaptive,uniform,reasoning,72,28.2,1866.45,25.925,0.9975,0.3404,1777539886.569363
36.07,adaptive,uniform,coord,11,29.4,186.64,28.531,0.3314,0.1689,1777539891.5846107
36.07,adaptive,uniform,nlp,118,28.0,2147.4,24.76,0.9216,0.2075,1777539891.584624
36.07,adaptive,uniform,vision,162,31.1,3574.21,24.261,0.9829,0.2674,1777539891.5846338
36.07,adaptive,uniform,reasoning,93,28.2,2032.56,25.924,0.9979,0.3563,1777539891.5846424
41.08,adaptive,uniform,coord,7,31.2,219.34,28.943,0.4214,0.1689,1777539896.5986476
41.08,adaptive,uniform,nlp,155,31.4,2430.7,24.781,0.9312,0.2075,1777539896.5986588
41.08,adaptive,uniform,vision,187,30.6,3890.54,24.586,0.9851,0.2674,1777539896.5986683
41.08,adaptive,uniform,reasoning,99,29.0,2217.57,25.998,0.9981,0.3563,1777539896.5986772
46.09,adaptive,uniform,coord,14,30.5,259.52,28.879,0.4831,0.1511,1777539901.6073365
46.09,adaptive,uniform,nlp,138,30.0,2745.86,25.451,0.9403,0.237,1777539901.6073494
46.09,adaptive,uniform,vision,203,31.4,4190.28,24.93,0.9869,0.2701,1777539901.6073592
46.09,adaptive,uniform,reasoning,111,27.8,2388.59,25.929,0.9983,0.3418,1777539901.6073794
51.1,adaptive,uniform,coord,8,29.2,287.29,28.96,0.5351,0.1576,1777539906.6247935
51.1,adaptive,uniform,nlp,158,29.2,2998.9,25.575,0.9464,0.2089,1777539906.6248052
51.1,adaptive,uniform,vision,212,31.0,4483.19,25.36,0.9884,0.2817,1777539906.624815
51.1,adaptive,uniform,reasoning,118,28.1,2568.99,26.025,0.9985,0.3518,1777539906.6248236
56.12,adaptive,uniform,coord,39,30.2,323.15,28.654,0.5721,0.1366,1777539911.6369429
56.12,adaptive,uniform,nlp,188,32.5,3241.16,25.803,0.9517,0.2219,1777539911.6369557
56.12,adaptive,uniform,vision,215,30.1,4747.31,25.643,0.9896,0.2826,1777539911.6369653
56.12,adaptive,uniform,reasoning,129,28.7,2740.67,26.124,0.9986,0.3589,1777539911.6369739
