timestamp,policy,coord,nlp,vision,reasoning
1777539977.993,round_robin,0.55,0.15,0.15,0.15
1777539978.994,round_robin,0.15,0.55,0.15,0.15
1777539979.999,round_robin,0.15,0.15,0.15,0.55
1777539981.0,round_robin,0.15,0.15,0.55,0.15
1777539982.012,round_robin,0.55,0.15,0.15,0.15
1777539983.021,round_robin,0.15,0.55,0.15,0.15
1777539984.032,round_robin,0.15,0.15,0.15,0.55
1777539985.042,round_robin,0.15,0.15,0.55,0.15
1777539986.056,round_robin,0.55,0.15,0.15,0.15
1777539987.066,round_robin,0.15,0.55,0.15,0.15
1777539988.073,round_robin,0.15,0.15,0.15,0.55
1777539989.075,round_robin,0.15,0.15,0.55,0.15
1777539990.082,round_robin,0.55,0.15,0.15,0.15
1777539991.095,round_robin,0.15,0.55,0.15,0.15
1777539992.097,round_robin,0.15,0.15,0.15,0.55
1777539993.099,round_robin,0.15,0.15,0.55,0.15
1777539994.113,round_robin,0.55,0.15,0.15,0.15
1777539995.124,round_robin,0.15,0.55,0.15,0.15
1777539996.131,round_robin,0.15,0.15,0.15,0.55
1777539997.133,round_robin,0.15,0.15,0.55,0.15
1777539998.149,round_robin,0.55,0.15,0.15,0.15
1777539999.162,round_robin,0.15,0.55,0.15,0.15
1777540000.174,round_robin,0.15,0.15,0.15,0.55
1777540001.182,round_robin,0.15,0.15,0.55,0.15
1777540002.193,round_robin,0.55,0.15,0.15,0.15
1777540003.197,round_robin,0.15,0.55,0.15,0.15
1777540004.208,round_robin,0.15,0.15,0.15,0.55
1777540005.213,round_robin,0.15,0.15,0.55,0.15
1777540006.231,round_robin,0.55,0.15,0.15,0.15
1777540007.244,round_robin,0.15,0.55,0.15,0.15
1777540008.261,round_robin,0.15,0.15,0.15,0.55
1777540009.276,round_robin,0.15,0.15,0.55,0.15
1777540010.282,round_robin,0.55,0.15,0.15,0.15
1777540011.297,round_robin,0.15,0.55,0.15,0.15
1777540012.315,round_robin,0.15,0.15,0.15,0.55
1777540013.332,round_robin,0.15,0.15,0.55,0.15
1777540014.347,round_robin,0.55,0.15,0.15,0.15
1777540015.352,round_robin,0.15,0.55,0.15,0.15
1777540016.365,round_robin,0.15,0.15,0.15,0.55
1777540017.38,round_robin,0.15,0.15,0.55,0.15
1777540018.395,round_robin,0.55,0.15,0.15,0.15
1777540019.4,round_robin,0.15,0.55,0.15,0.15
1777540020.416,round_robin,0.15,0.15,0.15,0.55
1777540021.416,round_robin,0.15,0.15,0.55,0.15
1777540022.431,round_robin,0.55,0.15,0.15,0.15
1777540023.441,round_robin,0.15,0.55,0.15,0.15
1777540024.454,round_robin,0.15,0.15,0.15,0.55
1777540025.463,round_robin,0.15,0.15,0.55,0.15
1777540026.478,round_robin,0.55,0.15,0.15,0.15
1777540027.492,round_robin,0.15,0.55,0.15,0.15
1777540028.499,round_robin,0.15,0.15,0.15,0.55
1777540029.513,round_robin,0.15,0.15,0.55,0.15
1777540030.521,round_robin,0.55,0.15,0.15,0.15
1777540031.53,round_robin,0.15,0.55,0.15,0.15
1777540032.539,round_robin,0.15,0.15,0.15,0.55
1777540033.553,round_robin,0.15,0.15,0.55,0.15
1777540034.568,round_robin,0.55,0.15,0.15,0.15
1777540035.586,round_robin,0.15,0.55,0.15,0.15
1777540036.606,round_robin,0.15,0.15,0.15,0.55
