elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.02,round_robin,uniform,coord,3,14.0,148.13,22.094,0.2556,0.15,1777539981.9958487
6.02,round_robin,uniform,nlp,20,13.7,317.3,18.772,0.5752,0.15,1777539981.995869
6.02,round_robin,uniform,vision,20,14.0,1063.6,19.27,0.9741,0.55,1777539981.995882
6.02,round_robin,uniform,reasoning,53,14.5,1361.82,14.619,0.9773,0.15,1777539981.9958918
11.02,round_robin,uniform,coord,0,28.9,152.68,25.95,0.2762,0.55,1777539986.9978707
11.02,round_robin,uniform,nlp,32,27.9,629.03,22.048,0.8025,0.15,1777539986.9978836
11.02,round_robin,uniform,vision,56,29.1,1400.28,20.959,0.987,0.15,1777539986.9978936
11.02,round_robin,uniform,reasoning,120,29.8,2153.86,15.788,0.9885,0.15,1777539986.9979024
16.03,round_robin,uniform,coord,2,30.7,184.8,27.511,0.3764,0.15,1777539992.006238
16.03,round_robin,uniform,nlp,2,28.5,666.25,25.952,0.8846,0.55,1777539992.0062416
16.03,round_robin,uniform,vision,100,30.5,1805.39,21.273,0.9912,0.15,1777539992.0062447
16.03,round_robin,uniform,reasoning,192,30.4,3001.63,15.845,0.9921,0.15,1777539992.0062473
21.03,round_robin,uniform,coord,5,31.6,189.97,28.387,0.4171,0.15,1777539997.007356
21.03,round_robin,uniform,nlp,10,29.5,673.2,26.675,0.8948,0.15,1777539997.007359
21.03,round_robin,uniform,vision,129,29.5,2285.08,21.54,0.9934,0.15,1777539997.0073617
21.03,round_robin,uniform,reasoning,234,29.9,4208.92,17.118,0.9944,0.55,1777539997.0073638
26.04,round_robin,uniform,coord,8,30.2,192.77,28.305,0.4383,0.15,1777540002.0162354
26.04,round_robin,uniform,nlp,14,28.7,655.04,26.538,0.8944,0.15,1777540002.016264
26.04,round_robin,uniform,vision,145,29.1,2876.15,22.582,0.9949,0.55,1777540002.016275
26.04,round_robin,uniform,reasoning,291,29.8,5221.66,17.397,0.9956,0.15,1777540002.0162845
31.05,round_robin,uniform,coord,0,29.8,205.63,29.118,0.479,0.55,1777540007.0232365
31.05,round_robin,uniform,nlp,29,28.1,665.14,26.509,0.9113,0.15,1777540007.0232494
31.05,round_robin,uniform,vision,174,30.1,3349.36,22.837,0.9958,0.15,1777540007.0232592
31.05,round_robin,uniform,reasoning,366,30.5,6120.73,17.2,0.9963,0.15,1777540007.0232687
36.05,round_robin,uniform,coord,1,29.7,202.07,28.873,0.4717,0.15,1777540012.0336802
36.05,round_robin,uniform,nlp,20,28.6,685.04,26.959,0.9126,0.55,1777540012.0336926
36.05,round_robin,uniform,vision,212,29.4,3810.35,22.66,0.9963,0.15,1777540012.033702
36.05,round_robin,uniform,reasoning,449,32.5,7073.55,17.224,0.9968,0.15,1777540012.0337105
41.07,round_robin,uniform,coord,3,28.6,199.37,28.856,0.4675,0.15,1777540017.0450826
41.07,round_robin,uniform,nlp,34,30.7,716.73,27.395,0.9244,0.15,1777540017.0450954
41.07,round_robin,uniform,vision,246,29.0,4272.09,22.598,0.9968,0.15,1777540017.0451064
41.07,round_robin,uniform,reasoning,511,32.4,8112.01,17.387,0.9972,0.55,1777540017.0451164
46.08,round_robin,uniform,coord,3,28.4,203.98,28.713,0.4845,0.15,1777540022.0560534
46.08,round_robin,uniform,nlp,31,30.9,789.02,27.563,0.9331,0.15,1777540022.0560808
46.08,round_robin,uniform,vision,270,29.6,4808.78,22.897,0.9972,0.55,1777540022.0560918
46.08,round_robin,uniform,reasoning,565,30.4,9171.09,17.58,0.9975,0.15,1777540022.0561018
51.09,round_robin,uniform,coord,0,28.1,202.64,28.814,0.4796,0.55,1777540027.0661037
51.09,round_robin,uniform,nlp,36,28.3,813.78,27.542,0.9396,0.15,1777540027.066116
51.09,round_robin,uniform,vision,287,29.4,5307.11,23.118,0.9975,0.15,1777540027.0661263
51.09,round_robin,uniform,reasoning,627,29.3,10096.69,17.461,0.9978,0.15,1777540027.066136
56.09,round_robin,uniform,coord,7,29.9,203.02,28.846,0.487,0.15,1777540032.0720997
56.09,round_robin,uniform,nlp,39,30.1,844.43,27.883,0.9457,0.55,1777540032.0721123
56.09,round_robin,uniform,vision,334,30.3,5775.08,23.07,0.9977,0.15,1777540032.0721226
56.09,round_robin,uniform,reasoning,684,28.5,11096.95,17.418,0.998,0.15,1777540032.0721328
