elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,static,uniform,coord,1,16.0,100.1,25.811,0.0,0.25,1777539921.7606566
6.01,static,uniform,nlp,2,14.1,169.89,22.647,0.2426,0.25,1777539921.7606657
6.01,static,uniform,vision,12,13.6,408.67,19.983,0.9167,0.25,1777539921.7606714
6.01,static,uniform,reasoning,51,14.8,942.67,15.487,1.0,0.25,1777539921.7606788
11.01,static,uniform,coord,0,31.6,99.48,28.608,0.0,0.25,1777539926.7671807
11.01,static,uniform,nlp,0,28.2,184.52,25.338,0.3799,0.25,1777539926.7671857
11.01,static,uniform,vision,46,29.5,725.97,22.25,0.9592,0.25,1777539926.76719
11.01,static,uniform,reasoning,123,31.7,1851.21,17.255,1.0,0.25,1777539926.7672431
16.02,static,uniform,coord,0,29.1,98.0,28.096,0.0,0.25,1777539931.7727115
16.02,static,uniform,nlp,5,29.4,189.98,26.598,0.3897,0.25,1777539931.772725
16.02,static,uniform,vision,62,30.3,1168.25,23.289,0.9732,0.25,1777539931.7727344
16.02,static,uniform,reasoning,174,31.5,2892.86,17.857,1.0,0.25,1777539931.7727425
21.03,static,uniform,coord,0,28.8,98.49,28.623,0.0,0.25,1777539936.788734
21.03,static,uniform,nlp,5,30.7,286.26,27.672,0.5533,0.25,1777539936.7887387
21.03,static,uniform,vision,88,29.3,1569.94,23.583,0.9798,0.25,1777539936.7887423
21.03,static,uniform,reasoning,232,29.8,3880.53,18.068,1.0,0.25,1777539936.7887459
26.04,static,uniform,coord,0,29.6,98.3,28.611,0.0,0.25,1777539941.7967415
26.04,static,uniform,nlp,0,29.1,275.53,27.881,0.5427,0.25,1777539941.7967534
26.04,static,uniform,vision,99,28.7,1960.91,23.964,0.984,0.25,1777539941.7967632
26.04,static,uniform,reasoning,286,30.0,4841.67,18.242,1.0,0.25,1777539941.7967947
31.05,static,uniform,coord,0,29.1,98.41,28.759,0.0,0.25,1777539946.807842
31.05,static,uniform,nlp,0,27.9,263.7,27.889,0.537,0.25,1777539946.8078544
31.05,static,uniform,vision,119,28.5,2289.18,24.186,0.9867,0.25,1777539946.8078644
31.05,static,uniform,reasoning,343,29.9,5794.58,18.325,1.0,0.25,1777539946.807875
36.05,static,uniform,coord,0,30.2,99.14,29.012,0.0,0.25,1777539951.813249
36.05,static,uniform,nlp,1,28.0,252.57,27.874,0.5124,0.25,1777539951.8132608
36.05,static,uniform,vision,139,29.2,2614.97,24.297,0.9886,0.25,1777539951.8132703
36.05,static,uniform,reasoning,399,30.1,6739.13,18.444,1.0,0.25,1777539951.813279
41.06,static,uniform,coord,0,30.3,99.28,29.152,0.0,0.25,1777539956.8188572
41.06,static,uniform,nlp,20,29.7,254.56,27.837,0.5162,0.25,1777539956.8188696
41.06,static,uniform,vision,163,29.8,2953.99,24.476,0.99,0.25,1777539956.8188791
41.06,static,uniform,reasoning,450,29.8,7683.39,18.534,1.0,0.25,1777539956.8188882
46.07,static,uniform,coord,0,29.3,98.66,29.084,0.0,0.25,1777539961.8341527
46.07,static,uniform,nlp,7,30.3,308.87,28.259,0.5753,0.25,1777539961.8341699
46.07,static,uniform,vision,193,31.2,3275.88,24.613,0.9912,0.25,1777539961.8341796
46.07,static,uniform,reasoning,512,30.5,8629.9,18.601,1.0,0.25,1777539961.8342085
51.08,static,uniform,coord,0,28.3,98.06,28.991,0.0,0.25,1777539966.8447924
51.08,static,uniform,nlp,0,28.1,299.62,28.325,0.5639,0.25,1777539966.8448043
51.08,static,uniform,vision,217,30.9,3631.84,24.684,0.9921,0.25,1777539966.8448143
51.08,static,uniform,reasoning,568,30.9,9559.94,18.636,1.0,0.25,1777539966.844824
56.1,static,uniform,coord,0,28.6,98.22,29.019,0.0,0.25,1777539971.8616362
56.1,static,uniform,nlp,12,29.9,310.32,28.466,0.5955,0.25,1777539971.8616502
56.1,static,uniform,vision,247,30.7,4008.18,24.741,0.9928,0.25,1777539971.8616612
56.1,static,uniform,reasoning,619,29.8,10496.98,18.698,1.0,0.25,1777539971.861673
