elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.13,adaptive,uniform,coord,0,13.8,103.16,22.014,0.0,0.1891,1777538992.318746
6.13,adaptive,uniform,nlp,0,12.6,147.27,20.057,0.0488,0.1811,1777538992.3187778
6.13,adaptive,uniform,vision,24,14.7,553.55,19.405,0.9748,0.183,1777538992.318799
6.13,adaptive,uniform,reasoning,39,13.1,1047.42,14.35,0.9886,0.4468,1777538992.318816
11.14,adaptive,uniform,coord,1,27.7,119.88,24.586,0.0036,0.1891,1777538997.333627
11.14,adaptive,uniform,nlp,27,26.4,307.39,20.997,0.4316,0.1811,1777538997.3336318
11.14,adaptive,uniform,vision,84,30.0,1165.74,19.023,0.9858,0.183,1777538997.333636
11.14,adaptive,uniform,reasoning,26,27.8,1133.68,22.253,0.996,0.4468,1777538997.3336396
16.16,adaptive,uniform,coord,0,28.5,117.75,26.06,0.0048,0.2169,1777539002.3419077
16.16,adaptive,uniform,nlp,46,28.1,673.82,22.098,0.6275,0.1922,1777539002.3419213
16.16,adaptive,uniform,vision,84,29.1,1935.12,21.727,0.9915,0.2769,1777539002.3419316
16.16,adaptive,uniform,reasoning,63,30.2,1230.55,22.717,0.9973,0.3139,1777539002.3419402
21.17,adaptive,uniform,coord,1,30.2,129.6,27.157,0.0574,0.1732,1777539007.3622246
21.17,adaptive,uniform,nlp,72,28.5,1053.79,22.434,0.72,0.197,1777539007.3622453
21.17,adaptive,uniform,vision,117,28.4,2296.5,21.914,0.9935,0.2451,1777539007.3622622
21.17,adaptive,uniform,reasoning,74,31.2,1546.2,24.229,0.9981,0.3847,1777539007.3622785
26.19,adaptive,uniform,coord,1,29.1,132.86,27.114,0.0549,0.1564,1777539012.3757012
26.19,adaptive,uniform,nlp,100,29.2,1482.36,22.799,0.7772,0.2095,1777539012.3757086
26.19,adaptive,uniform,vision,132,28.1,2730.02,22.302,0.9949,0.247,1777539012.375714
26.19,adaptive,uniform,reasoning,85,30.7,1806.2,24.975,0.9985,0.3872,1777539012.3757186
31.2,adaptive,uniform,coord,7,28.4,149.16,27.339,0.1524,0.1565,1777539017.3874934
31.2,adaptive,uniform,nlp,117,29.4,1893.55,23.237,0.8166,0.2157,1777539017.3874996
31.2,adaptive,uniform,vision,151,27.2,3172.05,22.564,0.9957,0.252,1777539017.3875043
31.2,adaptive,uniform,reasoning,93,30.1,2044.56,25.512,0.9987,0.3759,1777539017.3875093
