timestamp,policy,coord,nlp,vision,reasoning
1777539049.385,round_robin,0.55,0.15,0.15,0.15
1777539050.389,round_robin,0.15,0.55,0.15,0.15
1777539051.404,round_robin,0.15,0.15,0.15,0.55
1777539052.417,round_robin,0.15,0.15,0.55,0.15
1777539053.427,round_robin,0.55,0.15,0.15,0.15
1777539054.441,round_robin,0.15,0.55,0.15,0.15
1777539055.444,round_robin,0.15,0.15,0.15,0.55
1777539056.456,round_robin,0.15,0.15,0.55,0.15
1777539057.459,round_robin,0.55,0.15,0.15,0.15
1777539058.461,round_robin,0.15,0.55,0.15,0.15
