elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.22,static,uniform,coord,1,13.9,101.08,21.859,0.0,0.25,1777539023.1493902
6.22,static,uniform,nlp,7,15.6,197.41,23.305,0.469,0.25,1777539023.149398
6.22,static,uniform,vision,4,12.7,268.13,19.127,0.8151,0.25,1777539023.149403
6.22,static,uniform,reasoning,40,13.6,880.67,14.787,0.9783,0.25,1777539023.149407
11.23,static,uniform,coord,0,28.9,98.65,25.384,0.0,0.25,1777539028.1561706
11.23,static,uniform,nlp,2,30.8,241.85,26.898,0.702,0.25,1777539028.1561837
11.23,static,uniform,vision,30,27.9,505.28,21.821,0.9102,0.25,1777539028.1561935
11.23,static,uniform,reasoning,101,29.4,1665.14,16.833,0.9894,0.25,1777539028.1562026
16.25,static,uniform,coord,1,29.5,97.11,26.592,0.0,0.25,1777539033.173999
16.25,static,uniform,nlp,4,29.4,231.27,27.331,0.6216,0.25,1777539033.1740215
16.25,static,uniform,vision,57,30.6,793.11,22.899,0.9409,0.25,1777539033.1740391
16.25,static,uniform,reasoning,169,32.1,2534.74,17.543,0.993,0.25,1777539033.1740541
21.25,static,uniform,coord,0,29.7,98.1,27.531,0.0,0.25,1777539038.176754
21.25,static,uniform,nlp,1,29.5,227.43,28.284,0.6173,0.25,1777539038.1767573
21.25,static,uniform,vision,88,30.8,1219.12,23.39,0.9557,0.25,1777539038.1767595
21.25,static,uniform,reasoning,219,30.9,3480.33,17.93,0.9948,0.25,1777539038.1767619
26.25,static,uniform,coord,2,30.2,97.71,27.809,0.0,0.25,1777539043.1785097
26.25,static,uniform,nlp,3,30.3,227.69,28.494,0.5989,0.25,1777539043.178513
26.25,static,uniform,vision,103,30.2,1656.95,23.923,0.965,0.25,1777539043.1785152
26.25,static,uniform,reasoning,258,27.9,4437.68,18.095,0.9958,0.25,1777539043.1785178
31.26,static,uniform,coord,0,30.6,98.78,28.47,0.0,0.25,1777539048.189654
31.26,static,uniform,nlp,2,30.4,233.11,28.918,0.6416,0.25,1777539048.1896589
31.26,static,uniform,vision,128,29.6,2036.18,24.088,0.9708,0.25,1777539048.1896627
31.26,static,uniform,reasoning,297,26.9,5441.09,18.298,0.9965,0.25,1777539048.1896663
